Código de Barras;Tipo de Produto;Descrição;Preço de Custo;Preço Venda Varejo;Preço Venda Atacado;Quantidade Mínima Atacado;Unidade;Ativo;Categoria do Produto;Subcategoria do Produto;Movimenta Estoque;Estoque mínimo;Quantidade em Estoque;Marca;Modelo;Código Balança;Código Interno;Tags;Tipo;NCM;Origem;CEST;Categoria PDV;Botão PDV;Categoria na Loja Virtual;Subcategoria na Loja Virtual;Nome na Loja Virtual;Preço De;Preço Por;Altura (cm);Largura (cm);Profundidade (cm);Peso (Kg);Descrição do Produto;Garantia;Itens Inclusos;Especificações
"2000000000189";"Produto";"VESTIDO INFANTIL ELI";8.40;15.00;0.00;0.00;"Unidade";"Sim";"FEMININO INFANTIL";"INFANTIL";"Sim";0.000;2.000;"";"";"";"";"";"";"";"";"";"";"";"";"";"VESTIDO INFANTIL ELI";0.00;15.00;0.000;0.000;0.000;0.000;"";"";"";""
"2000000000190";"Produto";"VESTIDO INFANTIL ROVITEX";8.00;15.00;0.00;0.00;"Unidade";"Sim";"FEMININO INFANTIL";"INFANTIL";"Sim";0.000;5.000;"ROVITEX";"";"";"";"";"";"";"";"";"";"";"";"";"VESTIDO INFANTIL ROVITEX";0.00;15.00;0.000;0.000;0.000;0.000;"";"";"";""
"2000000000191";"Produto";"CHINELO ADULTO MASCULINO DRAMPER";17.99;20.00;0.00;0.00;"Unidade";"Não";"CHINELO MASCULINO";"CALÇADOS";"Sim";0.000;0.000;"";"";"";"";"";"";"";"";"";"";"";"";"";"CHINELO ADULTO MASCULINO DRAMPER";0.00;20.00;0.000;0.000;0.000;0.000;"";"";"";""
"2000000000192";"Produto";"CHINELO KENNER ORIGINAL";20.99;50.00;0.00;0.00;"Unidade";"Não";"CHINELO MASCULINO";"CALÇADOS";"Sim";0.000;6.000;"";"";"";"";"";"";"";"";"";"";"";"";"";"CHINELO KENNER ORIGINAL";0.00;50.00;0.000;0.000;0.000;0.000;"";"";"";""
"2000000000193";"Produto";"CHINELO MASCULINO SANDOBEL";17.99;25.00;0.00;0.00;"Unidade";"Não";"CHINELO MASCULINO";"CALÇADOS";"Sim";0.000;0.000;"";"";"";"";"";"";"";"";"";"";"";"";"";"CHINELO MASCULINO SANDOBEL";0.00;25.00;0.000;0.000;0.000;0.000;"";"";"";""
"2000000000194";"Produto";"CHINELO FEMININO SLIDE LAÇO MIS LIZ";18.79;35.00;0.00;0.00;"Unidade";"Não";"CALÇADO FEMININO";"CALÇADOS";"Sim";0.000;0.000;"LM CALÇADOS";"";"";"";"";"";"";"";"";"";"";"";"";"CHINELO FEMININO SLIDE LAÇO MIS LIZ";0.00;35.00;0.000;0.000;0.000;0.000;"";"";"";""
"2000000000195";"Produto";"CHINELO MASCULINO DIDEDO";6.99;10.00;0.00;0.00;"Unidade";"Não";"CHINELO MASCULINO";"CALÇADOS";"Sim";0.000;0.000;"LM CALÇADOS";"";"";"";"";"";"";"";"";"";"";"";"";"CHINELO MASCULINO DIDEDO";0.00;10.00;0.000;0.000;0.000;0.000;"";"";"";""
"2000000000196";"Produto";"CHINELO INFANTIL DHALLUFA";13.99;25.00;0.00;0.00;"Unidade";"Não";"CHINELO INFANTIL";"CALÇADOS";"Sim";0.000;0.000;"LM CALÇADOS";"";"";"";"";"";"";"";"";"";"";"";"";"CHINELO INFANTIL DHALLUFA";0.00;25.00;0.000;0.000;0.000;0.000;"";"";"";""
"2000000000197";"Produto";"CHINELO MASCULINO ADULTO S.W";14.99;25.00;0.00;0.00;"Unidade";"Não";"CHINELO MASCULINO";"CALÇADOS";"Sim";0.000;0.000;"LM CALÇADOS";"";"";"";"";"";"";"";"";"";"";"";"";"CHINELO MASCULINO ADULTO S.W";0.00;25.00;0.000;0.000;0.000;0.000;"";"";"";""
"2000000000198";"Produto";"CHINELO MASCULINO INFANTIL S.W";14.99;25.00;0.00;0.00;"Unidade";"Não";"CHINELO INFANTIL";"CALÇADOS";"Sim";0.000;0.000;"LM CALÇADOS";"";"";"";"";"";"";"";"";"";"";"";"";"CHINELO MASCULINO INFANTIL S.W";0.00;25.00;0.000;0.000;0.000;0.000;"";"";"";""
"2000000000199";"Produto";"CHINELAO INFANTIL PERSONAGENS";18.00;25.00;0.00;0.00;"Unidade";"Não";"CHINELO INFANTIL";"CALÇADOS";"Sim";0.000;0.000;"LM CALÇADOS";"";"";"";"";"";"";"";"";"";"";"";"";"CHINELAO INFANTIL PERSONAGENS";0.00;25.00;0.000;0.000;0.000;0.000;"";"";"";""
"2000000000200";"Produto";"CHINELAO ADULTO";22.00;25.00;0.00;0.00;"Unidade";"Não";"CHINELO MASCULINO";"";"Sim";0.000;0.000;"LM CALÇADOS";"";"";"";"";"";"";"";"";"";"";"";"";"CHINELAO ADULTO";0.00;25.00;0.000;0.000;0.000;0.000;"";"";"";""
"2000000000201";"Produto";"CHINELO HAVAIANAS";10.57;20.00;0.00;0.00;"Unidade";"Não";"CHINELOS";"CALÇADOS";"Sim";0.000;0.000;"LM CALÇADOS";"";"";"";"";"";"";"";"";"";"";"";"";"CHINELO HAVAIANAS";0.00;20.00;0.000;0.000;0.000;0.000;"";"";"";""
"2000000000202";"Produto";"CHINELO INFANTIL TIRA FINA PERSONAGENS";9.99;17.99;0.00;0.00;"Unidade";"Não";"CHINELO INFANTIL";"CALÇADOS";"Sim";0.000;0.000;"LM CALÇADOS";"";"";"";"";"";"";"";"";"";"";"";"";"CHINELO INFANTIL TIRA FINA PERSONAGENS";0.00;17.99;0.000;0.000;0.000;0.000;"";"";"";""
